BusinessId;Attribute;Sentiment
"3tk6Syyz5i967Ifuz_4o3w";meals;0,3287632198238538
"3tk6Syyz5i967Ifuz_4o3w";prices;0,33812615955473097
"3tk6Syyz5i967Ifuz_4o3w";tissue;0,47557598232216025
"3tk6Syyz5i967Ifuz_4o3w";gathering;0,5994897959183674
"3tk6Syyz5i967Ifuz_4o3w";not luck;0,6337632198238539
"3tk6Syyz5i967Ifuz_4o3w";Soup;0,7107531480136444
"3tk6Syyz5i967Ifuz_4o3w";person;0,7736210623755204
"3tk6Syyz5i967Ifuz_4o3w";produce;0,9166666666666666
"3tk6Syyz5i967Ifuz_4o3w";opening;1,0
"3tk6Syyz5i967Ifuz_4o3w";Mongolian Grill;1,1781937929433852
"3tk6Syyz5i967Ifuz_4o3w";things;1,1793593335683128
"3tk6Syyz5i967Ifuz_4o3w";portions;1,5613656185383502
"3tk6Syyz5i967Ifuz_4o3w";Food;2,1710858597084077
"3tk6Syyz5i967Ifuz_4o3w";service;3,0794834524149466
"3tk6Syyz5i967Ifuz_4o3w";woman;4,049726277372263
"Wns0UP_28xk6uZ-b6LrMnQ";spring rolls;-1,4993105831277262
"Wns0UP_28xk6uZ-b6LrMnQ";whiff;-0,4583333333333333
"Wns0UP_28xk6uZ-b6LrMnQ";buffets;-0,362514146262973
"Wns0UP_28xk6uZ-b6LrMnQ";Food;-0,36000000000000004
"Wns0UP_28xk6uZ-b6LrMnQ";prices;-0,2539290069096329
"Wns0UP_28xk6uZ-b6LrMnQ";music;-0,08394258527473328
"Wns0UP_28xk6uZ-b6LrMnQ";meals;-0,026666666666666727
"Wns0UP_28xk6uZ-b6LrMnQ";idea;0,0
"Wns0UP_28xk6uZ-b6LrMnQ";rag;0,0
"Wns0UP_28xk6uZ-b6LrMnQ";result;0,0
"Wns0UP_28xk6uZ-b6LrMnQ";areas;0,02299605781865966
"Wns0UP_28xk6uZ-b6LrMnQ";occurrence;0,034090909090909095
"Wns0UP_28xk6uZ-b6LrMnQ";quantities;0,10287998247919405
"Wns0UP_28xk6uZ-b6LrMnQ";restaurant building;0,12647831800262813
"Wns0UP_28xk6uZ-b6LrMnQ";move;0,5245535714285714
"Wns0UP_28xk6uZ-b6LrMnQ";pick;0,6337632198238539
"Wns0UP_28xk6uZ-b6LrMnQ";rice concoction;0,875
"Wns0UP_28xk6uZ-b6LrMnQ";person;1,0416666666666667
"Kfbs3K37ZczrOQnoxgzNkw";meals;-1,2583111235797448
"Kfbs3K37ZczrOQnoxgzNkw";service;-0,9467046526639854
"Kfbs3K37ZczrOQnoxgzNkw";Mongolian Grill;-0,4706067713344891
"Kfbs3K37ZczrOQnoxgzNkw";quantities;-0,403551137381703
"Kfbs3K37ZczrOQnoxgzNkw";pork balls;-0,39192928441760966
"Kfbs3K37ZczrOQnoxgzNkw";end;-0,375
"Kfbs3K37ZczrOQnoxgzNkw";rating;-0,36000000000000004
"Kfbs3K37ZczrOQnoxgzNkw";occurrence;-0,36000000000000004
"Kfbs3K37ZczrOQnoxgzNkw";move;-0,12500000000000003
"Kfbs3K37ZczrOQnoxgzNkw";job;-0,125
"Kfbs3K37ZczrOQnoxgzNkw";rag;-0,1240476744020733
"Kfbs3K37ZczrOQnoxgzNkw";result;-0,11949035812672176
"Kfbs3K37ZczrOQnoxgzNkw";example;-0,09709700455246814
"Kfbs3K37ZczrOQnoxgzNkw";interest;0,0
"Kfbs3K37ZczrOQnoxgzNkw";meat;0,0
"Kfbs3K37ZczrOQnoxgzNkw";order;0,0
"Kfbs3K37ZczrOQnoxgzNkw";flavor;0,0
"Kfbs3K37ZczrOQnoxgzNkw";weekday;0,0
"Kfbs3K37ZczrOQnoxgzNkw";people;0,0
"Kfbs3K37ZczrOQnoxgzNkw";idea;0,02181276249830646
"Kfbs3K37ZczrOQnoxgzNkw";cities;0,02181276249830646
"Kfbs3K37ZczrOQnoxgzNkw";institution;0,09090909090909093
"Kfbs3K37ZczrOQnoxgzNkw";container;0,12741157076130974
"Kfbs3K37ZczrOQnoxgzNkw";pick;0,25
"Kfbs3K37ZczrOQnoxgzNkw";China Place;0,2737632198238538
"Kfbs3K37ZczrOQnoxgzNkw";woman;0,5
"Kfbs3K37ZczrOQnoxgzNkw";stuff;0,5144442410049451
"Kfbs3K37ZczrOQnoxgzNkw";tissue;0,5476900149031297
"Kfbs3K37ZczrOQnoxgzNkw";collection;0,6337632198238539
"Kfbs3K37ZczrOQnoxgzNkw";battle;0,6337632198238539
"Kfbs3K37ZczrOQnoxgzNkw";night;0,6337632198238539
"Kfbs3K37ZczrOQnoxgzNkw";portions;0,7342403219527078
"Kfbs3K37ZczrOQnoxgzNkw";dissatisfaction;0,7840909090909092
"Kfbs3K37ZczrOQnoxgzNkw";things;0,9056204379562044
"Kfbs3K37ZczrOQnoxgzNkw";times;0,9878966218651124
"Kfbs3K37ZczrOQnoxgzNkw";NY style NY Chinese;1,0
"Kfbs3K37ZczrOQnoxgzNkw";produce;1,0
"Kfbs3K37ZczrOQnoxgzNkw";help;1,125
"Kfbs3K37ZczrOQnoxgzNkw";Food;6,0543561400351535
"1svyifERkfuuz02lbeK2dA";meals;-2,765299479166667
"1svyifERkfuuz02lbeK2dA";Soup;-2,166357393318268
"1svyifERkfuuz02lbeK2dA";person;-1,8294769300519642
"1svyifERkfuuz02lbeK2dA";meat;-0,5327710758872213
"1svyifERkfuuz02lbeK2dA";amount;-0,3047445255474453
"1svyifERkfuuz02lbeK2dA";sense;-0,25
"1svyifERkfuuz02lbeK2dA";battle;-0,17625231910946193
"1svyifERkfuuz02lbeK2dA";idea;-0,04744525547445255
"1svyifERkfuuz02lbeK2dA";Mongolian Grill;0,0
"1svyifERkfuuz02lbeK2dA";locations;0,0
"1svyifERkfuuz02lbeK2dA";opportunity;0,0
"1svyifERkfuuz02lbeK2dA";China Place;0,020121550591327204
"1svyifERkfuuz02lbeK2dA";portions;0,2687632198238538
"1svyifERkfuuz02lbeK2dA";staff;0,38000000000000006
"1svyifERkfuuz02lbeK2dA";quantities;0,3962878620310604
"1svyifERkfuuz02lbeK2dA";no comment;0,39929857774000366
"1svyifERkfuuz02lbeK2dA";buffets;0,5833333333333334
"1svyifERkfuuz02lbeK2dA";Food;0,5886337264367812
"1svyifERkfuuz02lbeK2dA";note;0,6337632198238539
"1svyifERkfuuz02lbeK2dA";move;0,6337632198238539
"1svyifERkfuuz02lbeK2dA";occurrence;0,75
"1svyifERkfuuz02lbeK2dA";things;0,75
"1svyifERkfuuz02lbeK2dA";rating;0,9373840445269017
"1svyifERkfuuz02lbeK2dA";consumption;1,0
"1svyifERkfuuz02lbeK2dA";container;1,023544241721664
"1svyifERkfuuz02lbeK2dA";waiter;1,3055555555555556
"4l3eeM1sOACwdJAz4UyIPQ";mama;-1,75
"4l3eeM1sOACwdJAz4UyIPQ";move;-1,5501314162028448
"4l3eeM1sOACwdJAz4UyIPQ";China Place;-0,9368774466078333
"4l3eeM1sOACwdJAz4UyIPQ";Food;-0,5706406664316871
"4l3eeM1sOACwdJAz4UyIPQ";shops;-0,36000000000000004
"4l3eeM1sOACwdJAz4UyIPQ";no comment;-0,25
"4l3eeM1sOACwdJAz4UyIPQ";times;-0,1193189788189087
"4l3eeM1sOACwdJAz4UyIPQ";Mongolian Grill;0,0
"4l3eeM1sOACwdJAz4UyIPQ";collection;0,0
"4l3eeM1sOACwdJAz4UyIPQ";poop;0,0
"4l3eeM1sOACwdJAz4UyIPQ";staff;0,19000000000000003
"4l3eeM1sOACwdJAz4UyIPQ";people;0,19000000000000003
"4l3eeM1sOACwdJAz4UyIPQ";institution;0,27384500745156487
"4l3eeM1sOACwdJAz4UyIPQ";prices;1,1438184189134264
"GVaaRfCXGBZeypTL8GNJlw";people;0,0
"GVaaRfCXGBZeypTL8GNJlw";spring rolls;0,16156462585034015
"GVaaRfCXGBZeypTL8GNJlw";no comment;0,3977272727272727
"GVaaRfCXGBZeypTL8GNJlw";Food;0,6555759823221603
"GVaaRfCXGBZeypTL8GNJlw";meals;1,120768796499316
"2POJy5LcLySLgkAxb4K54w";things;-1,5
"2POJy5LcLySLgkAxb4K54w";person;-0,3605163249648171
"2POJy5LcLySLgkAxb4K54w";collection;0,0
"2POJy5LcLySLgkAxb4K54w";China Place;0,16666666666666666
"2POJy5LcLySLgkAxb4K54w";Food;0,5994897959183674
"2POJy5LcLySLgkAxb4K54w";opening;0,7500000000000001
"DuaoskPAVBV55px_cwxIVw";Food;-5,059447700872598
"DuaoskPAVBV55px_cwxIVw";way;-1,7028554934933577
"DuaoskPAVBV55px_cwxIVw";person;-1,5706406664316872
"DuaoskPAVBV55px_cwxIVw";staff;-1,3147348484848482
"DuaoskPAVBV55px_cwxIVw";meat;-1,1590909090909092
"DuaoskPAVBV55px_cwxIVw";people;-1,036141894490021
"DuaoskPAVBV55px_cwxIVw";China Place;-0,9902107799411667
"DuaoskPAVBV55px_cwxIVw";things;-0,6818181818181819
"DuaoskPAVBV55px_cwxIVw";1s;-0,6724295132557162
"DuaoskPAVBV55px_cwxIVw";produce;-0,620742092457421
